cuisine,atmosphere,occasion,price,style
American,Near-perfect Food,Weekend Dining,over $50,Power Brokers
American,Focus on Dessert,Parties and Occasions,$30-$50,Power Brokers
American,Old World Cafe Charm,Dancing,over $50,none
American,Extraordinary Service,Weekend Dining,over $50,High Tea
American,Quiet for Conversation,Weekend Brunch,$30-$50,Continental
American,Warm spots by the fire,Weekend Lunch,below $15,none
American,Fabulous Wine Lists,Late Night Menu,$15-$30,Hamburgers
Italian,Up and Coming,Takeout Available,$30-$50,none
American,Wheelchair Access,Weekend Dining,$15-$30,Cab
Italian,Good Decor,After Hours Dining,$15-$30,Pizza
American,Hip Place To Be,Catering for Special Events,$30-$50,Power Brokers
Mexican,Excellent Decor,Late Night Menu,$15-$30,none
French,Classic Hotel Dining,Private Parties,over $50,Power Brokers
Mexican,Good Food,Weekend Dining,below $15,none
American,Excellent Decor,Weekend Lunch,$15-$30,Southwestern
French,Good Out of Town Business,Weekend Brunch,$30-$50,Cab
Italian,Excellent Decor,Pre-theater Dining,$15-$30,Cab
American,Good for Younger Kids,See the Game,below $15,Traditional
French,Good Out of Town Business,Private Parties,over $50,none
American,Need To Dress,Delivery Available,$15-$30,none
French,Excellent Decor,Delivery Available,$15-$30,Continental
American,Excellent Service,Private Parties,$15-$30,Hamburgers
American,Good Food,Entertainment,below $15,Coffee Shops
American,Near-perfect Service,Early Dining,$30-$50,Continental
American,Health Conscious Menus,Fine for Dining Alone,$30-$50,Traditional
French,Extraordinary Food,Private Parties,over $50,Power Brokers
American,Wheelchair Access,Weekend Dining,$30-$50,Power Brokers
American,Good Decor,Entertainment,below $15,Health Food
Italian,Parking/Valet,Prix Fixe Menus,$30-$50,Power Brokers
Italian,Excellent Service,Prix Fixe Menus,$15-$30,Pizza
Italian,Fabulous Wine Lists,Weekend Dining,$30-$50,Traditional
Mexican,Excellent Decor,Takeout Available,$15-$30,none
French,Near-perfect Service,Pre-theater Dining,$30-$50,Continental
American,Good Decor,Dining Outdoors,below $15,Hamburgers
American,No Reservations,Weekend Lunch,$15-$30,Eclectic
American,Parking/Valet,Delivery Available,$15-$30,High Tea
French,Excellent Food,Weekend Brunch,$15-$30,Traditional
French,Great for People Watching,Dining Outdoors,$15-$30,Brasserie
American,Health Conscious Menus,Entertainment,$30-$50,none
American,Good Service,Delivery Available,$15-$30,Southwestern
American,Wheelchair Access,Catering for Special Events,$15-$30,Southern Comfort
American,Wheelchair Access,After Hours Dining,$15-$30,Southwestern
American,Very Busy - Reservations a Must,Private Rooms Available,over $50,none
French,Excellent Decor,Dining Outdoors,$30-$50,Cab
French,Extraordinary Food,After Hours Dining,$30-$50,Californian
American,Extraordinary Service,Weekend Dining,$15-$30,none
Mexican,Fair Service,Delivery Available,below $15,Tacos
American,Singles Scene,Private Parties,$15-$30,Hamburgers
Italian,Extraordinary Service,Weekend Brunch,$15-$30,Cab
American,Excellent Food,Weekend Dining,below $15,Traditional
American,Relaxed Senior Scene,Private Rooms Available,$15-$30,Soulfood
American,Good Service,Private Rooms Available,$15-$30,Coffee Shops
American,Cafe/Garden Dining,Dining Outdoors,$30-$50,Power Brokers
American,Parking/Valet,Long Drive,below $15,Coffee Shops
American,An Historic Spot,Late Night Menu,$15-$30,none
French,Near-perfect Service,Private Rooms Available,$30-$50,Eclectic
American,Parking/Valet,Entertainment,below $15,High Tea
Italian,Very Busy - Reservations a Must,none,$15-$30,none
Italian,Business Scene,Private Rooms Available,$15-$30,none
American,Excellent Food,Dining Outdoors,$15-$30,Eclectic
American,Business Scene,Great Place to Meet for a Drink,$30-$50,Power Brokers
Italian,Extraordinary Food,Private Parties,$30-$50,none
Italian,Up and Coming,none,$30-$50,none
Indian,Wheelchair Access,Delivery Available,below $15,none
American,No Reservations,After Hours Dining,$15-$30,Eclectic
Italian,No Smoking Allowed,Weekend Lunch,$15-$30,Cab
American,Health Conscious Menus,Dancing,$15-$30,Continental
American,No Reservations,Catering for Special Events,below $15,High Tea
French,Excellent Food,Private Parties,$15-$30,none
French,Singles Scene,Weekend Lunch,$30-$50,Brasserie
Mexican,Fair Decor,After Hours Dining,below $15,Carry in Wine and Beer
Italian,Excellent Food,Delivery Available,$30-$50,Traditional
American,Buffet Dining,Entertainment,$30-$50,Cab
Italian,Excellent Food,Open for Breakfast,below $15,none
American,Excellent Decor,Takeout Available,$15-$30,Steakhouses
American,For the Young and Young at Heart,Catering for Special Events,below $15,Diners
French,Romantic,Dining Outdoors,$30-$50,Californian
French,Extraordinary Decor,Private Rooms Available,over $50,none
American,An Historic Spot,Takeout Available,below $15,Coffee Shops
American,Focus on Dessert,Special Brunch Menu,$30-$50,Southern
American,Parking/Valet,Private Rooms Available,below $15,Coffee Shops
American,Up and Coming,none,$30-$50,none
Mexican,Near-perfect Food,Private Parties,$15-$30,Cab
Italian,Excellent Food,Weekend Jazz Brunch,$15-$30,Power Brokers
French,Good Out of Town Business,Weekend Jazz Brunch,$30-$50,none
American,Singles Scene,Long Drive,$15-$30,none
French,Place for Singles,Special Brunch Menu,$15-$30,none
American,Good for Younger Kids,Weekend Lunch,$15-$30,Southern
American,Good Decor,Delivery Available,below $15,Cab
Mexican,Good Food,Private Parties,$15-$30,Cab
Italian,Excellent Food,After Hours Dining,$30-$50,Pizza
American,Good Service,Weekend Dining,$15-$30,Southwestern
French,Excellent Decor,none,$30-$50,Californian
American,Little Known But Well Liked,Long Drive,$30-$50,none
Indian,Excellent Food,Long Drive,below $15,none
American,Good Service,Weekend Jazz Brunch,below $15,Coffee Shops
French,Good Out of Town Business,none,$15-$30,none
Italian,Good Food,Catering for Special Events,$15-$30,none
American,Hip Place To Be,Weekend Dining,over $50,none
Italian,Excellent Service,Private Parties,$15-$30,Californian
American,Business Scene,Open for Breakfast,$15-$30,Hamburgers
American,Creative,Late Night Menu,$30-$50,Traditional
American,Up and Coming,Private Rooms Available,$15-$30,Southern
Italian,Business Scene,none,$30-$50,none
French,Near-perfect Food,Weekend Brunch,over $50,none
American,An Historic Spot,Open for Breakfast,$15-$30,none
American,Pub Feel,Open for Breakfast,$15-$30,Hamburgers
Italian,Place for Singles,Weekend Lunch,$15-$30,Hamburgers
French,No Smoking Allowed,Entertainment,below $15,High Tea
American,Fabulous Wine Lists,Takeout Available,$30-$50,Steakhouses
Italian,Good Decor,Private Parties,$15-$30,Eclectic
American,Quiet for Conversation,Weekend Dining,$30-$50,none
Mexican,Excellent Decor,Dining Outdoors,below $15,Southwestern
American,Creative,Entertainment,$30-$50,Southwestern
American,Parking/Valet,Dining After the Theater,$15-$30,none
French,Near-perfect Food,Private Rooms Available,over $50,High Tea
Italian,Cafe/Garden Dining,Weekend Dining,$15-$30,Traditional
American,Parking/Valet,Entertainment,$15-$30,Power Brokers
American,People Keep Coming Back,Delivery Available,$15-$30,none
French,An Out Of The Way Find,Private Rooms Available,over $50,none
Italian,Fair Decor,Private Rooms Available,$15-$30,none
American,Fabulous Wine Lists,Early Dining,$30-$50,Continental
American,For the Young and Young at Heart,Weekend Jazz Brunch,below $15,Diners
French,Extraordinary Food,Weekend Dining,$15-$30,none
American,Fabulous Views,Entertainment,$30-$50,Power Brokers
American,Excellent Service,Dining Outdoors,$15-$30,none
American,Good Food,Entertainment,$15-$30,Traditional
French,Warm spots by the fire,none,$15-$30,none
Italian,Very Busy - Reservations a Must,Open on Sundays,$15-$30,none
Mexican,Good Decor,Special Brunch Menu,$15-$30,Soulfood
American,Good Food,Private Rooms Available,$15-$30,Hamburgers
French,Good Decor,Pre-theater Dining,$15-$30,Coffee Shops
American,Excellent Food,Prix Fixe Menus,$30-$50,Grills
Italian,Excellent Service,Prix Fixe Menus,$15-$30,none
French,Parking/Valet,Private Parties,$30-$50,High Tea
American,An Historic Spot,Catering for Special Events,$15-$30,Southern
American,Excellent Service,Catering for Special Events,$15-$30,Deli
American,Focus on Dessert,Weekend Dining,below $15,none
American,Good Decor,Dancing,$30-$50,Continental
Italian,No Reservations,Weekend Brunch,$15-$30,Californian
French,Excellent Food,Dancing,$15-$30,none
French,Hip Place To Be,Open for Breakfast,$30-$50,none
American,Excellent Food,Delivery Available,$30-$50,Soulfood
American,Good Decor,Takeout Available,below $15,Hamburgers
Indian,Good Decor,Late Night Menu,$15-$30,none
Indian,Good Decor,none,$15-$30,Cab
American,Pub Feel,Weekend Dining,$15-$30,Steakhouses
American,People Keep Coming Back,Open for Breakfast,below $15,none
Mexican,Great for People Watching,Private Rooms Available,$15-$30,none
American,Focus on Dessert,After Hours Dining,below $15,Diners
Italian,Wheelchair Access,Open on Sundays,below $15,Pizza
Italian,Health Conscious Menus,Private Rooms Available,over $50,none
Mexican,Business Scene,Weekend Dining,$15-$30,Traditional
American,Excellent Food,Late Night Menu,$30-$50,Californian
American,Classic Hotel Dining,Great Place to Meet for a Drink,$30-$50,Steakhouses
American,Good Decor,none,$15-$30,none
American,Parking/Valet,Delivery Available,below $15,Diners
American,Extraordinary Decor,Entertainment,$30-$50,Cab
French,Good Out of Town Business,Early Dining,$30-$50,Eclectic
American,Good Service,After Hours Dining,$15-$30,Soulfood
American,Wheelchair Access,none,$30-$50,Southwestern
American,Business Scene,Prix Fixe Menus,$30-$50,High Tea
Italian,Extraordinary Service,Delivery Available,$30-$50,none
American,Place for Singles,Late Night Menu,$15-$30,Cab
American,Extraordinary Service,Weekend Dining,$30-$50,Grills
Mexican,Extraordinary Decor,Private Parties,$30-$50,Cab
Italian,Wheelchair Access,Catering for Special Events,below $15,Coffee Houses
American,An Historic Spot,Delivery Available,$15-$30,Power Brokers
Mexican,Good Food,Fine for Dining Alone,$15-$30,Power Brokers
Italian,Up and Coming,Takeout Available,$15-$30,Californian
American,Buffet Dining,Prix Fixe Menus,$30-$50,Power Brokers
American,Wheelchair Access,Delivery Available,$30-$50,High Tea
American,Cafe/Garden Dining,Weekend Dining,$30-$50,Power Brokers
American,Excellent Food,Weekend Dining,$30-$50,Power Brokers
Italian,Good for Younger Kids,Weekend Dining,$15-$30,Middle Eastern
American,Quiet for Conversation,Dancing,$30-$50,Cab
Italian,Good Food,Private Parties,$15-$30,Steakhouses
Italian,Excellent Food,Open for Breakfast,$30-$50,none
French,An Historic Spot,Private Rooms Available,$15-$30,none
Mexican,People Keep Coming Back,Dining Outdoors,$15-$30,none
Italian,Good Service,Weekend Dining,$15-$30,none
American,Warm spots by the fire,Weekend Jazz Brunch,$30-$50,none
American,Place for Singles,Dancing,$30-$50,Steakhouses
French,Excellent Food,Dancing,$30-$50,Cab
American,Good Service,Weekend Dining,$15-$30,Cab
Mexican,Fair Food,After Hours Dining,$15-$30,none
Italian,Good Decor,Private Parties,$15-$30,Middle Eastern
Mexican,Wheelchair Access,Weekend Dining,below $15,none
Mexican,Fair Decor,Takeout Available,$15-$30,none
Italian,Excellent Service,Private Rooms Available,$30-$50,Steakhouses
American,Quirky,Weekend Dining,below $15,Traditional
French,Need To Dress,Entertainment,$30-$50,none
American,Wheelchair Access,After Hours Dining,$15-$30,Hamburgers
American,For the Young and Young at Heart,Dining Outdoors,below $15,Coffee Shops
American,No Liquor Served,Delivery Available,below $15,Diners
American,For the Young and Young at Heart,Special Brunch Menu,$15-$30,Eclectic
American,Near-perfect Food,Weekend Dining,over $50,Grills
American,Good Food,Weekend Brunch,$15-$30,none
Mexican,Quirky,Margaritas,$15-$30,none
French,Excellent Service,Late Night Menu,$30-$50,Power Brokers
American,Extraordinary Decor,Takeout Available,$30-$50,High Tea
French,On the Beach,Weekend Lunch,$15-$30,Brasserie
Mexican,Excellent Decor,Dining Outdoors,$15-$30,none
American,Fabulous Wine Lists,none,$30-$50,Continental
American,Good Food,Private Parties,below $15,Eclectic
French,Good Food,Prix Fixe Menus,$15-$30,Steakhouses
American,Fabulous Views,Pre-theater Dining,$15-$30,none
American,Good Service,Dining Outdoors,$15-$30,Central
American,Parking/Valet,Dining Outdoors,below $15,Cab
Italian,Very Busy - Reservations a Must,Special Brunch Menu,$15-$30,Pizza
American,Good Service,Fine for Dining Alone,below $15,Coffee Shops
American,Excellent Food,Open for Breakfast,below $15,Coffee Houses
American,Extraordinary Service,Weekend Jazz Brunch,$15-$30,Traditional
Mexican,Authentic,Weekend Dining,$30-$50,none
French,Hip Place To Be,Weekend Lunch,$30-$50,Californian
French,Excellent Service,Dancing,$15-$30,Cab
Italian,Hip Place To Be,Weekend Dining,$30-$50,none
American,Parking/Valet,Takeout Available,below $15,High Tea
American,Need To Dress,Entertainment,$15-$30,none
Italian,Warm spots by the fire,Weekend Brunch,$15-$30,Continental
Italian,An Out Of The Way Find,Weekend Dining,$15-$30,none
American,Extraordinary Food,Entertainment,$30-$50,Power Brokers
French,Extraordinary Decor,Weekend Dining,$30-$50,Power Brokers
Italian,Warm spots by the fire,Dining Outdoors,$30-$50,none
French,Old World Cafe Charm,Takeout Available,$30-$50,Steakhouses
Mexican,Great for People Watching,Dining Outdoors,$15-$30,Power Brokers
American,Good for Younger Kids,Delivery Available,below $15,Californian
Italian,Relaxed Senior Scene,Open on Mondays,$15-$30,none
Mexican,Relaxed Senior Scene,Private Rooms Available,$15-$30,none
Italian,Excellent Decor,Happy Hour,$15-$30,none
American,Parking/Valet,Fine for Dining Alone,$15-$30,none
French,Classic Hotel Dining,Entertainment,$30-$50,High Tea
Italian,Extraordinary Food,Late Night Menu,$15-$30,Pizza
American,Romantic,Weekend Brunch,$30-$50,High Tea
Italian,Great for People Watching,Open for Breakfast,$30-$50,Power Brokers
American,Good Food,Short Drive,below $15,Coffee Shops
Mexican,Pub Feel,Weekend Dining,$15-$30,none
American,For the Young and Young at Heart,Weekend Brunch,below $15,none
American,Warm spots by the fire,Open for Breakfast,$15-$30,none
Mexican,Fair Decor,none,below $15,none
American,Good Decor,Weekend Dining,below $15,none
American,Creative,Private Rooms Available,below $15,none
French,Good Out of Town Business,Parties and Occasions,$30-$50,High Tea
American,Classic Hotel Dining,Happy Hour,$30-$50,Traditional
American,Excellent Food,Private Rooms Available,$15-$30,Southwestern
American,Parking/Valet,Great Place to Meet for a Drink,$30-$50,Steakhouses
American,Great for People Watching,Prix Fixe Menus,$15-$30,Eclectic
American,Extraordinary Decor,Menus in Braille,$30-$50,Continental
French,Extraordinary Service,Weekend Brunch,$30-$50,none
American,Excellent Decor,Special Brunch Menu,$15-$30,Eclectic
American,Good Out of Town Business,Private Parties,$15-$30,Steakhouses
French,Fabulous Wine Lists,Weekend Lunch,$30-$50,Power Brokers
Mexican,Good Decor,Entertainment,$15-$30,Cab
Italian,Excellent Service,Early Dining,$15-$30,none
Mexican,Good Decor,none,$15-$30,Southern
American,Extraordinary Decor,Late Night Menu,$30-$50,Power Brokers
American,Good Decor,Private Parties,$15-$30,Cab
Mexican,Quirky,Weekend Lunch,below $15,none
American,Excellent Service,Takeout Available,$15-$30,Continental
French,Good Decor,Private Rooms Available,$15-$30,Eclectic
American,Quiet for Conversation,Takeout Available,$15-$30,Eclectic
American,Romantic,Prix Fixe Menus,over $50,none
American,Good Service,Special Brunch Menu,$15-$30,Grills
Italian,Excellent Service,Dining Outdoors,$30-$50,none
American,Extraordinary Service,Dancing,over $50,none
Italian,Business Scene,Dining Outdoors,$15-$30,Southwestern
American,Parking/Valet,Special Brunch Menu,below $15,Diners
American,Extraordinary Decor,Private Parties,$15-$30,Traditional
American,Great for People Watching,Catering for Special Events,$30-$50,Traditional
Italian,Parking/Valet,Weekend Brunch,$15-$30,Power Brokers
Italian,Extraordinary Food,After Hours Dining,$30-$50,none
American,For the Young and Young at Heart,Prix Fixe Menus,$15-$30,none
French,Romantic,Early Dining,$30-$50,Continental
Italian,Good Service,Late Night Menu,$30-$50,Cab
Italian,Extraordinary Decor,Dancing,$30-$50,none
Italian,Excellent Food,Dining After the Theater,$15-$30,Pizza
French,Business Scene,Pre-theater Dining,over $50,Power Brokers
Italian,Excellent Service,Weekend Lunch,$15-$30,Cab
American,Good Decor,Weekend Dining,$15-$30,Hamburgers
American,Excellent Food,Delivery Available,$15-$30,Power Brokers
American,Need To Dress,Delivery Available,$30-$50,High Tea
American,Near-perfect Decor,Dining Outdoors,over $50,none
American,Great for People Watching,Special Brunch Menu,$15-$30,Power Brokers
American,Romantic,Entertainment,$30-$50,Power Brokers
French,Excellent Food,After Hours Dining,$15-$30,none
Italian,For the Young and Young at Heart,Weekend Jazz Brunch,$15-$30,Californian
American,Wheelchair Access,Open on Mondays,below $15,Continental
Italian,Good Decor,Takeout Available,below $15,none
American,Excellent Decor,Special Brunch Menu,$30-$50,none
French,Classic Hotel Dining,Private Rooms Available,$30-$50,High Tea
French,Classic Hotel Dining,Weekend Brunch,$30-$50,Power Brokers
American,Up and Coming,Catering for Special Events,below $15,none
Italian,Excellent Food,Dining Outdoors,$30-$50,Pizza
American,Excellent Food,Private Rooms Available,$15-$30,Traditional
American,Extraordinary Service,Dancing,$30-$50,none
Italian,Excellent Decor,Weekend Dining,below $15,Coffee Houses
Italian,Good Service,Open on Mondays,below $15,Pizza
French,Excellent Decor,Weekend Dining,$30-$50,none
American,Extraordinary Decor,Private Rooms Available,$15-$30,Cab
American,Excellent Service,Weekend Dining,$30-$50,Eclectic
American,Quirky,Weekend Dining,$15-$30,Hamburgers
French,Near-perfect Service,Private Rooms Available,over $50,Californian
French,Hip Place To Be,Weekend Jazz Brunch,$15-$30,none
Mexican,No Reservations,Weekend Jazz Brunch,below $15,none
Italian,Hip Place To Be,Dining Outdoors,$15-$30,Cab
American,Near-perfect Food,Private Rooms Available,$30-$50,none
Mexican,Excellent Food,none,below $15,Carry in Wine and Beer
French,Business Scene,Takeout Available,$15-$30,none
French,Extraordinary Food,Entertainment,$30-$50,Californian
Italian,No Reservations,Weekend Brunch,$15-$30,none
Italian,Excellent Service,Weekend Brunch,$15-$30,Traditional
American,Excellent Decor,Weekend Dining,below $15,Diners
American,Excellent Food,Late Night Menu,$15-$30,Pastries
American,Fabulous Wine Lists,Entertainment,$30-$50,Continental
Italian,Relaxed Senior Scene,Long Drive,$15-$30,none
American,Excellent Decor,Weekend Dining,below $15,High Tea
American,Extraordinary Decor,Walk,$30-$50,none
American,Fair Decor,Takeout Available,below $15,Traditional
American,Wheelchair Access,Takeout Available,below $15,Coffee Houses
Indian,Extraordinary Decor,Special Brunch Menu,$30-$50,Power Brokers
American,Up and Coming,Late Night Menu,$15-$30,Cab
Italian,Near-perfect Food,Private Parties,$30-$50,none
American,Fabulous Wine Lists,Prix Fixe Menus,over $50,Power Brokers
Italian,Romantic,Weekend Brunch,$30-$50,Power Brokers
American,Place for Singles,Delivery Available,$30-$50,Southern
American,Extraordinary Food,Private Rooms Available,$30-$50,Cab
American,Good Decor,Open for Breakfast,below $15,High Tea
American,Excellent Food,Dining Outdoors,$15-$30,Deli
Italian,Fabulous Wine Lists,Private Parties,$30-$50,Steakhouses
Italian,Parking/Valet,Short Drive,$15-$30,none
Italian,Warm spots by the fire,Private Rooms Available,$30-$50,Continental
American,Good Food,See the Game,$15-$30,none
French,Excellent Decor,Takeout Available,$30-$50,Continental
Italian,Good Decor,Weekend Brunch,$15-$30,Traditional
Italian,Good Service,Dining Outdoors,$15-$30,Diners
Italian,Excellent Food,Prix Fixe Menus,$30-$50,none
American,Wheelchair Access,Takeout Available,below $15,Cafeterias
American,Fabulous Wine Lists,none,$30-$50,Power Brokers
American,Place for Singles,Private Rooms Available,$30-$50,Southern
French,Good Decor,Weekend Dining,$15-$30,Bakeries
Mexican,Excellent Food,Weekend Jazz Brunch,below $15,none
Italian,Extraordinary Decor,Pre-theater Dining,$15-$30,none
American,Excellent Food,none,$15-$30,Grills
American,Singles Scene,Prix Fixe Menus,$15-$30,Power Brokers
Mexican,Great for People Watching,Takeout Available,$15-$30,Traditional
French,Excellent Service,Short Drive,$15-$30,none
Italian,For the Young and Young at Heart,After Hours Dining,below $15,Traditional
American,Creative,Special Brunch Menu,$30-$50,Californian
French,Near-perfect Food,Pre-theater Dining,over $50,Power Brokers
French,Excellent Food,Takeout Available,$30-$50,Traditional
American,Singles Scene,Weekend Dining,below $15,Deli
French,Warm spots by the fire,Pre-theater Dining,$15-$30,none
French,Wheelchair Access,Prix Fixe Menus,$15-$30,none
American,An Historic Spot,Weekend Brunch,$15-$30,Steakhouses
American,No Reservations,Weekend Lunch,below $15,Southwestern
American,Good Service,Delivery Available,below $15,High Tea
American,Good Food,Open on Mondays,below $15,Cab
American,Excellent Service,Late Night Menu,below $15,Traditional
Italian,Business Scene,Weekend Lunch,$15-$30,Power Brokers
American,No Reservations,Open on Mondays,$15-$30,Traditional
American,Hip Place To Be,Private Parties,$15-$30,Steakhouses
French,Excellent Food,Special Brunch Menu,$30-$50,Continental
American,Excellent Service,none,$30-$50,Southern
Mexican,Pub Feel,Special Brunch Menu,$15-$30,Southwestern
American,Good for Younger Kids,After Hours Dining,below $15,Diners
American,Buffet Dining,Long Drive,$15-$30,Continental
American,Parking/Valet,Dining Outdoors,$15-$30,Southwestern
Mexican,Very Busy - Reservations a Must,Private Rooms Available,$30-$50,Cab
Italian,Good Out of Town Business,Weekend Brunch,$15-$30,Steakhouses
French,Hip Place To Be,Private Rooms Available,over $50,Power Brokers
French,Classic Hotel Dining,Pre-theater Dining,$30-$50,High Tea
Italian,Creative,Dining Outdoors,$15-$30,Southwestern
American,No Reservations,Open for Breakfast,below $15,none
French,Good for Younger Kids,Prix Fixe Menus,$30-$50,none
Italian,Extraordinary Decor,Pre-theater Dining,$30-$50,Power Brokers
Italian,Health Conscious Menus,Private Parties,below $15,none
French,Quiet for Conversation,Entertainment,$15-$30,none
American,Excellent Food,Dining Outdoors,$15-$30,Cab
American,Good Decor,Entertainment,$15-$30,Eclectic
American,Health Conscious Menus,Weekend Dining,below $15,Southern
American,Quirky,Fine for Dining Alone,$15-$30,none
French,Up and Coming,Private Parties,$15-$30,Steakhouses
American,Good for Younger Kids,Special Brunch Menu,$15-$30,Pastries
Italian,Good for Younger Kids,Weekend Dining,below $15,none
French,Near-perfect Decor,Dining Outdoors,$30-$50,High Tea
American,Little Known But Well Liked,Entertainment,$15-$30,Soulfood
American,Wheelchair Access,After Hours Dining,$15-$30,Traditional
Indian,Hip Place To Be,Private Rooms Available,$15-$30,none
Italian,Quirky,Private Parties,$15-$30,none
American,Good for Younger Kids,Entertainment,$15-$30,Cab
French,Excellent Decor,none,$30-$50,Eclectic
American,Good Service,Weekend Jazz Brunch,$15-$30,none
Italian,For the Young and Young at Heart,Weekend Brunch,$15-$30,Cab
American,Parking/Valet,After Hours Dining,below $15,Deli
American,An Historic Spot,Open on Sundays,$15-$30,Power Brokers
American,Good for Younger Kids,Weekend Dining,$30-$50,none
American,Good for Younger Kids,Takeout Available,$15-$30,Cab
American,For the Young and Young at Heart,Dancing,below $15,Coffee Shops
French,Extraordinary Service,Catering for Special Events,$30-$50,none
American,Wheelchair Access,Prix Fixe Menus,$15-$30,Power Brokers
American,Hip Place To Be,Parties and Occasions,$30-$50,Californian
American,Buffet Dining,Dancing,$30-$50,High Tea
American,Classic Hotel Dining,Fine for Dining Alone,$30-$50,Power Brokers
French,Romantic,Entertainment,over $50,none
American,Up and Coming,Prix Fixe Menus,$15-$30,Continental
American,Little Known But Well Liked,Private Rooms Available,$30-$50,none
French,Focus on Dessert,Private Parties,$30-$50,Power Brokers
American,Extraordinary Decor,Takeout Available,$30-$50,Hamburgers
Italian,Warm spots by the fire,Open for Breakfast,$15-$30,none
French,Up and Coming,Open for Breakfast,$30-$50,none
Mexican,Business Scene,Private Rooms Available,$15-$30,Traditional
American,Wheelchair Access,Private Rooms Available,$30-$50,Cab
American,Excellent Decor,Private Parties,$15-$30,Southern Comfort
American,Excellent Service,Dining Outdoors,$30-$50,Power Brokers
Italian,Fair Decor,Open on Sundays,below $15,none
American,Extraordinary Decor,Open for Breakfast,$15-$30,High Tea
Italian,Excellent Food,After Hours Dining,$15-$30,Cab
American,Good Food,none,$15-$30,Californian
Indian,Excellent Food,none,below $15,none
Mexican,Parking/Valet,Weekend Dining,below $15,Southwestern
American,Fair Food,Private Rooms Available,$15-$30,Eclectic
American,Good for Younger Kids,Weekend Dining,below $15,none
Italian,No Reservations,Catering for Special Events,$30-$50,Power Brokers
French,Romantic,Private Parties,$30-$50,none
Indian,Good Food,Short Drive,below $15,Carry in Wine and Beer
Italian,Wheelchair Access,Weekend Dining,$15-$30,Power Brokers
American,Extraordinary Service,Pre-theater Dining,$30-$50,High Tea
Italian,Creative,Entertainment,$30-$50,none
French,Very Busy - Reservations a Must,Weekend Dining,$30-$50,Power Brokers
American,Place for Singles,Dancing,$15-$30,Eclectic
American,Place for Singles,Weekend Lunch,$30-$50,Traditional
American,Near-perfect Service,Prix Fixe Menus,$30-$50,Cab
American,Place for Singles,Open on Mondays,below $15,none
French,Great for People Watching,Private Parties,$15-$30,Continental
American,Need To Dress,Pre-theater Dining,$30-$50,Continental
French,An Historic Spot,Pre-theater Dining,$15-$30,Brasserie
Italian,Excellent Food,Pre-theater Dining,$30-$50,Pizza
American,Excellent Service,Special Brunch Menu,$15-$30,Traditional
French,Good Out of Town Business,Private Parties,over $50,Californian
Mexican,Good Service,Weekend Dining,$15-$30,Power Brokers
Italian,Relaxed Senior Scene,Open on Mondays,below $15,Traditional
American,Good Decor,none,$15-$30,Soulfood
American,Excellent Service,Private Parties,$15-$30,Soulfood
American,Fair Decor,Entertainment,below $15,none
American,For the Young and Young at Heart,Entertainment,$15-$30,Eclectic
French,Classic Hotel Dining,Special Brunch Menu,over $50,Continental
Italian,Fabulous Views,Weekend Lunch,$15-$30,Pizza
Italian,Excellent Service,Late Night Menu,$15-$30,Cab
Indian,Excellent Service,Catering for Special Events,below $15,none
American,Fabulous Views,After Hours Dining,$15-$30,none
French,An Historic Spot,Entertainment,$30-$50,Continental
Italian,Very Busy - Reservations a Must,Weekend Dining,$15-$30,Continental
American,Excellent Food,Menus in Braille,$15-$30,Grills
French,Good Out of Town Business,Private Parties,$30-$50,Continental
American,Classic Hotel Dining,Special Brunch Menu,$15-$30,none
French,Wheelchair Access,Fine for Dining Alone,$15-$30,Power Brokers
American,Wheelchair Access,Weekend Lunch,$15-$30,Cab
French,Near-perfect Service,Private Parties,$30-$50,Continental
American,Wheelchair Access,Weekend Lunch,$15-$30,Hamburgers
American,Parking/Valet,Private Rooms Available,$15-$30,Grills
American,Pub Feel,Open for Breakfast,$15-$30,Traditional
French,Near-perfect Food,Picnics,$30-$50,Californian
Italian,Quirky,Prix Fixe Menus,$15-$30,none
American,Wheelchair Access,Dancing,$15-$30,Continental
American,Extraordinary Food,Takeout Available,$30-$50,none
American,Quirky,Takeout Available,below $15,Eclectic
Italian,For the Young and Young at Heart,Short Drive,$15-$30,Pizza
American,Excellent Food,After Hours Dining,$15-$30,Traditional
American,Good Food,Entertainment,$15-$30,Southwestern
American,Business Scene,Takeout Available,$15-$30,Eclectic
American,Fabulous Wine Lists,Weekend Lunch,$30-$50,Power Brokers
Mexican,Excellent Decor,Weekend Lunch,$15-$30,Southwestern
American,Excellent Service,Catering for Special Events,$15-$30,Southern Comfort
Mexican,Hip Place To Be,Private Rooms Available,$15-$30,Traditional
American,Excellent Service,Special Brunch Menu,$15-$30,Continental
American,Romantic,Fine for Dining Alone,$30-$50,High Tea
French,Great for People Watching,Prix Fixe Menus,over $50,Power Brokers
American,Hip Place To Be,Weekend Brunch,below $15,Hamburgers
Italian,Health Conscious Menus,Weekend Lunch,$15-$30,Pizza
French,Great for People Watching,Dining Outdoors,$15-$30,none
American,For the Young and Young at Heart,Dining Outdoors,below $15,Cab
French,Hip Place To Be,Dining Outdoors,$30-$50,High Tea
American,Quirky,Takeout Available,$15-$30,none
American,Extraordinary Food,Private Rooms Available,$15-$30,Eclectic
American,Excellent Service,Takeout Available,$15-$30,Southern
Mexican,Parking/Valet,Catering for Special Events,below $15,Southwestern
