cuisine,atmosphere,occasion,price,style
American,Excellent Service,Takeout Available,$30-$50,Traditional
American,Excellent Service,Takeout Available,$30-$50,Power Brokers
American,Excellent Service,Takeout Available,$30-$50,Soulfood
American,Excellent Service,Prix Fixe Menus,$30-$50,Traditional
American,Excellent Service,Prix Fixe Menus,$30-$50,Power Brokers
American,Excellent Service,Prix Fixe Menus,$30-$50,Soulfood
American,Place for Singles,Special Brunch Menu,$30-$50,Grills
American,Place for Singles,Prix Fixe Menus,$30-$50,Grills
American,Good Out of Town Business,Special Brunch Menu,$30-$50,Grills
American,Good Out of Town Business,Prix Fixe Menus,$30-$50,Grills
American,Creative,Special Brunch Menu,$30-$50,Grills
American,Creative,Prix Fixe Menus,$30-$50,Grills
American,Excellent Decor,Special Brunch Menu,$30-$50,Grills
American,Excellent Decor,Prix Fixe Menus,$30-$50,Grills
American,Hip Place To Be,Special Brunch Menu,$30-$50,Grills
American,Hip Place To Be,Prix Fixe Menus,$30-$50,Grills
American,Extraordinary Food,Special Brunch Menu,$30-$50,Grills
American,Extraordinary Food,Prix Fixe Menus,$30-$50,Grills
American,Wheelchair Access,Special Brunch Menu,$30-$50,Grills
American,Wheelchair Access,Prix Fixe Menus,$30-$50,Grills
American,Great for People Watching,Special Brunch Menu,$30-$50,Grills
American,Great for People Watching,Prix Fixe Menus,$30-$50,Grills
American,Old World Cafe Charm,Special Brunch Menu,$30-$50,Grills
American,Old World Cafe Charm,Prix Fixe Menus,$30-$50,Grills
American,Excellent Service,Special Brunch Menu,$30-$50,Grills
American,Excellent Service,Prix Fixe Menus,$30-$50,Grills
Italian,Health Conscious Menus,Delivery Available,$15-$30,none
Italian,Health Conscious Menus,Takeout Available,$15-$30,none
Italian,Health Conscious Menus,Prix Fixe Menus,$15-$30,none
Italian,Good Service,Delivery Available,$15-$30,none
Italian,Good Service,Takeout Available,$15-$30,none
Italian,Good Service,Prix Fixe Menus,$15-$30,none
Italian,Good Food,Delivery Available,$15-$30,none
Italian,Good Food,Takeout Available,$15-$30,none
Italian,Good Food,Prix Fixe Menus,$15-$30,none
Italian,Good Decor,Delivery Available,$15-$30,none
Italian,Good Decor,Takeout Available,$15-$30,none
Italian,Good Decor,Prix Fixe Menus,$15-$30,none
Italian,Good for Younger Kids,Delivery Available,$15-$30,none
Italian,Good for Younger Kids,Takeout Available,$15-$30,none
Italian,Good for Younger Kids,Prix Fixe Menus,$15-$30,none
American,Extraordinary Decor,Late Night Menu,$30-$50,none
American,Extraordinary Decor,After Hours Dining,$30-$50,none
American,Place for Singles,Late Night Menu,$30-$50,none
American,Place for Singles,After Hours Dining,$30-$50,none
American,Excellent Food,Late Night Menu,$30-$50,none
American,Excellent Food,After Hours Dining,$30-$50,none
American,Great for People Watching,Late Night Menu,$30-$50,none
American,Great for People Watching,After Hours Dining,$30-$50,none
American,Health Conscious Menus,Late Night Menu,$30-$50,none
American,Health Conscious Menus,After Hours Dining,$30-$50,none
American,Excellent Service,Late Night Menu,$30-$50,none
American,Excellent Service,After Hours Dining,$30-$50,none
French,Excellent Decor,Dancing,$30-$50,none
French,Excellent Decor,Entertainment,$30-$50,none
French,Excellent Service,Dancing,$30-$50,none
French,Excellent Service,Entertainment,$30-$50,none
French,Excellent Food,Dancing,$30-$50,none
French,Excellent Food,Entertainment,$30-$50,none
American,Excellent Decor,Late Night Menu,$15-$30,Grills
American,Excellent Decor,After Hours Dining,$15-$30,Grills
American,Excellent Decor,Dining Outdoors,$15-$30,Grills
American,Excellent Service,Late Night Menu,$15-$30,Grills
American,Excellent Service,After Hours Dining,$15-$30,Grills
American,Excellent Service,Dining Outdoors,$15-$30,Grills
American,Warm spots by the fire,Late Night Menu,$15-$30,Grills
American,Warm spots by the fire,After Hours Dining,$15-$30,Grills
American,Warm spots by the fire,Dining Outdoors,$15-$30,Grills
American,Excellent Food,Late Night Menu,$15-$30,Grills
American,Excellent Food,After Hours Dining,$15-$30,Grills
American,Excellent Food,Dining Outdoors,$15-$30,Grills
American,Creative,Weekend Dining,$30-$50,none
American,Creative,Dining Outdoors,$30-$50,none
American,Creative,Fine for Dining Alone,$30-$50,none
American,Excellent Decor,Weekend Dining,$30-$50,none
American,Excellent Decor,Dining Outdoors,$30-$50,none
American,Excellent Decor,Fine for Dining Alone,$30-$50,none
American,Excellent Food,Weekend Dining,$30-$50,none
American,Excellent Food,Dining Outdoors,$30-$50,none
American,Excellent Food,Fine for Dining Alone,$30-$50,none
American,Quiet for Conversation,Weekend Dining,$30-$50,none
American,Quiet for Conversation,Dining Outdoors,$30-$50,none
American,Quiet for Conversation,Fine for Dining Alone,$30-$50,none
American,Up and Coming,Weekend Dining,$30-$50,none
American,Up and Coming,Dining Outdoors,$30-$50,none
American,Up and Coming,Fine for Dining Alone,$30-$50,none
American,Excellent Service,Weekend Dining,$30-$50,none
American,Excellent Service,Dining Outdoors,$30-$50,none
American,Excellent Service,Fine for Dining Alone,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,Good Decor,none,$30-$50,none
Italian,Excellent Food,none,$30-$50,none
Italian,Good Decor,Dancing,$30-$50,none
Italian,Good Decor,Entertainment,$30-$50,none
Italian,Good Service,Dancing,$30-$50,none
Italian,Good Service,Entertainment,$30-$50,none
Italian,Fair Food,Dancing,$30-$50,none
Italian,Fair Food,Entertainment,$30-$50,none
Italian,People Keep Coming Back,Dancing,$30-$50,none
Italian,People Keep Coming Back,Entertainment,$30-$50,none
Italian,Classic Hotel Dining,Dancing,$30-$50,none
Italian,Classic Hotel Dining,Entertainment,$30-$50,none
Italian,Good for Younger Kids,Dancing,$30-$50,none
Italian,Good for Younger Kids,Entertainment,$30-$50,none
Italian,An Historic Spot,none,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,Good Food,none,$30-$50,none
Italian,Good Decor,none,$30-$50,none
Italian,People Keep Coming Back,none,$30-$50,none
Italian,Excellent Decor,none,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,Little Known But Well Liked,none,$30-$50,none
Italian,Excellent Food,none,$30-$50,none
American,Excellent Service,none,$15-$30,Grills
American,Good Decor,none,$15-$30,Grills
American,Excellent Food,none,$15-$30,Grills
French,Good Service,Prix Fixe Menus,$15-$30,Traditional
French,Good Food,Prix Fixe Menus,$15-$30,Traditional
French,Good Decor,Prix Fixe Menus,$15-$30,Traditional
Italian,Excellent Decor,none,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,Excellent Food,none,$30-$50,none
American,Creative,Prix Fixe Menus,$30-$50,none
American,Excellent Decor,Prix Fixe Menus,$30-$50,none
American,Excellent Food,Prix Fixe Menus,$30-$50,none
American,Wheelchair Access,Prix Fixe Menus,$30-$50,none
American,Good Out of Town Business,Prix Fixe Menus,$30-$50,none
American,Excellent Service,Prix Fixe Menus,$30-$50,none
French,Excellent Decor,none,$30-$50,none
French,Extraordinary Food,none,$30-$50,none
French,Authentic,none,$30-$50,none
French,Excellent Service,none,$30-$50,none
Italian,Good Service,Dining Outdoors,$15-$30,none
Italian,Good Food,Dining Outdoors,$15-$30,none
Italian,Good Decor,Dining Outdoors,$15-$30,none
American,Extraordinary Decor,Prix Fixe Menus,$30-$50,none
American,Quiet for Conversation,Prix Fixe Menus,$30-$50,none
American,Relaxed Senior Scene,Prix Fixe Menus,$30-$50,none
American,Extraordinary Food,Prix Fixe Menus,$30-$50,none
American,Classic Hotel Dining,Prix Fixe Menus,$30-$50,none
American,Extraordinary Service,Prix Fixe Menus,$30-$50,none
Mexican,For the Young and Young at Heart,Fine for Dining Alone,$15-$30,none
Mexican,For the Young and Young at Heart,Fine for Dining Alone,$15-$30,none
Mexican,Good Service,Fine for Dining Alone,$15-$30,none
Mexican,Good Service,Fine for Dining Alone,$15-$30,none
Mexican,Good Food,Fine for Dining Alone,$15-$30,none
Mexican,Good Food,Fine for Dining Alone,$15-$30,none
Mexican,Good Decor,Fine for Dining Alone,$15-$30,none
Mexican,Good Decor,Fine for Dining Alone,$15-$30,none
Mexican,Good for Younger Kids,Fine for Dining Alone,$15-$30,none
Mexican,Good for Younger Kids,Fine for Dining Alone,$15-$30,none
French,Extraordinary Decor,Prix Fixe Menus,$30-$50,none
French,An Historic Spot,Prix Fixe Menus,$30-$50,none
French,Extraordinary Service,Prix Fixe Menus,$30-$50,none
French,Classic Hotel Dining,Prix Fixe Menus,$30-$50,none
French,Excellent Food,Prix Fixe Menus,$30-$50,none
Italian,Excellent Decor,Short Drive,$15-$30,none
Italian,Excellent Decor,Fine for Dining Alone,$15-$30,none
Italian,Excellent Service,Short Drive,$15-$30,none
Italian,Excellent Service,Fine for Dining Alone,$15-$30,none
Italian,Wheelchair Access,Short Drive,$15-$30,none
Italian,Wheelchair Access,Fine for Dining Alone,$15-$30,none
Italian,Excellent Food,Short Drive,$15-$30,none
Italian,Excellent Food,Fine for Dining Alone,$15-$30,none
American,Extraordinary Decor,Weekend Dining,over $50,Cab
American,Extraordinary Decor,Weekend Dining,over $50,Power Brokers
American,Extraordinary Decor,Special Brunch Menu,over $50,Cab
American,Extraordinary Decor,Special Brunch Menu,over $50,Power Brokers
American,Old World Cafe Charm,Weekend Dining,over $50,Cab
American,Old World Cafe Charm,Weekend Dining,over $50,Power Brokers
American,Old World Cafe Charm,Special Brunch Menu,over $50,Cab
American,Old World Cafe Charm,Special Brunch Menu,over $50,Power Brokers
American,Creative,Weekend Dining,over $50,Cab
American,Creative,Weekend Dining,over $50,Power Brokers
American,Creative,Special Brunch Menu,over $50,Cab
American,Creative,Special Brunch Menu,over $50,Power Brokers
American,Hip Place To Be,Weekend Dining,over $50,Cab
American,Hip Place To Be,Weekend Dining,over $50,Power Brokers
American,Hip Place To Be,Special Brunch Menu,over $50,Cab
American,Hip Place To Be,Special Brunch Menu,over $50,Power Brokers
American,Fabulous Wine Lists,Weekend Dining,over $50,Cab
American,Fabulous Wine Lists,Weekend Dining,over $50,Power Brokers
American,Fabulous Wine Lists,Special Brunch Menu,over $50,Cab
American,Fabulous Wine Lists,Special Brunch Menu,over $50,Power Brokers
American,Extraordinary Food,Weekend Dining,over $50,Cab
American,Extraordinary Food,Weekend Dining,over $50,Power Brokers
American,Extraordinary Food,Special Brunch Menu,over $50,Cab
American,Extraordinary Food,Special Brunch Menu,over $50,Power Brokers
American,Great for People Watching,Weekend Dining,over $50,Cab
American,Great for People Watching,Weekend Dining,over $50,Power Brokers
American,Great for People Watching,Special Brunch Menu,over $50,Cab
American,Great for People Watching,Special Brunch Menu,over $50,Power Brokers
American,Extraordinary Service,Weekend Dining,over $50,Cab
American,Extraordinary Service,Weekend Dining,over $50,Power Brokers
American,Extraordinary Service,Special Brunch Menu,over $50,Cab
American,Extraordinary Service,Special Brunch Menu,over $50,Power Brokers
American,Good Out of Town Business,Weekend Dining,over $50,Cab
American,Good Out of Town Business,Weekend Dining,over $50,Power Brokers
American,Good Out of Town Business,Special Brunch Menu,over $50,Cab
American,Good Out of Town Business,Special Brunch Menu,over $50,Power Brokers
French,Place for Singles,none,$15-$30,none
French,Good Decor,none,$15-$30,none
French,Hip Place To Be,none,$15-$30,none
French,Good Service,none,$15-$30,none
French,Relaxed Senior Scene,none,$15-$30,none
French,Good Food,none,$15-$30,none
French,Wheelchair Access,none,$15-$30,none
French,Great for People Watching,none,$15-$30,none
French,Up and Coming,none,$15-$30,none
American,Extraordinary Decor,Private Parties,over $50,none
American,Extraordinary Decor,Private Rooms Available,over $50,none
American,Extraordinary Decor,Prix Fixe Menus,over $50,none
American,Extraordinary Decor,Pre-theater Dining,over $50,none
American,Creative,Private Parties,over $50,none
American,Creative,Private Rooms Available,over $50,none
American,Creative,Prix Fixe Menus,over $50,none
American,Creative,Pre-theater Dining,over $50,none
American,Romantic,Private Parties,over $50,none
American,Romantic,Private Rooms Available,over $50,none
American,Romantic,Prix Fixe Menus,over $50,none
American,Romantic,Pre-theater Dining,over $50,none
American,Extraordinary Food,Private Parties,over $50,none
American,Extraordinary Food,Private Rooms Available,over $50,none
American,Extraordinary Food,Prix Fixe Menus,over $50,none
American,Extraordinary Food,Pre-theater Dining,over $50,none
American,Health Conscious Menus,Private Parties,over $50,none
American,Health Conscious Menus,Private Rooms Available,over $50,none
American,Health Conscious Menus,Prix Fixe Menus,over $50,none
American,Health Conscious Menus,Pre-theater Dining,over $50,none
American,Extraordinary Service,Private Parties,over $50,none
American,Extraordinary Service,Private Rooms Available,over $50,none
American,Extraordinary Service,Prix Fixe Menus,over $50,none
American,Extraordinary Service,Pre-theater Dining,over $50,none
American,Good Out of Town Business,Private Parties,over $50,none
American,Good Out of Town Business,Private Rooms Available,over $50,none
American,Good Out of Town Business,Prix Fixe Menus,over $50,none
American,Good Out of Town Business,Pre-theater Dining,over $50,none
Italian,Excellent Service,none,$15-$30,none
Italian,Up and Coming,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
Italian,Excellent Food,none,$15-$30,none
Italian,Extraordinary Food,none,$30-$50,none
Italian,Good Decor,none,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,An Historic Spot,none,$15-$30,none
Italian,Excellent Service,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
Italian,Excellent Food,none,$15-$30,none
American,Good Food,Dancing,$30-$50,none
American,Good Food,Entertainment,$30-$50,none
American,Up and Coming,Dancing,$30-$50,none
American,Up and Coming,Entertainment,$30-$50,none
American,Good Decor,Dancing,$30-$50,none
American,Good Decor,Entertainment,$30-$50,none
American,Excellent Service,Dancing,$30-$50,none
American,Excellent Service,Entertainment,$30-$50,none
Italian,Relaxed Senior Scene,Prix Fixe Menus,$15-$30,none
Italian,Relaxed Senior Scene,Dining Outdoors,$15-$30,none
Italian,Good Food,Prix Fixe Menus,$15-$30,none
Italian,Good Food,Dining Outdoors,$15-$30,none
Italian,Good Service,Prix Fixe Menus,$15-$30,none
Italian,Good Service,Dining Outdoors,$15-$30,none
Italian,Good Decor,Prix Fixe Menus,$15-$30,none
Italian,Good Decor,Dining Outdoors,$15-$30,none
American,For the Young and Young at Heart,Special Brunch Menu,$15-$30,Grills
American,For the Young and Young at Heart,Special Brunch Menu,$15-$30,Grills
American,For the Young and Young at Heart,Dining Outdoors,$15-$30,Grills
American,For the Young and Young at Heart,Dining Outdoors,$15-$30,Grills
American,Place for Singles,Special Brunch Menu,$15-$30,Grills
American,Place for Singles,Special Brunch Menu,$15-$30,Grills
American,Place for Singles,Dining Outdoors,$15-$30,Grills
American,Place for Singles,Dining Outdoors,$15-$30,Grills
American,Good Food,Special Brunch Menu,$15-$30,Grills
American,Good Food,Special Brunch Menu,$15-$30,Grills
American,Good Food,Dining Outdoors,$15-$30,Grills
American,Good Food,Dining Outdoors,$15-$30,Grills
American,Good Service,Special Brunch Menu,$15-$30,Grills
American,Good Service,Special Brunch Menu,$15-$30,Grills
American,Good Service,Dining Outdoors,$15-$30,Grills
American,Good Service,Dining Outdoors,$15-$30,Grills
American,Good Decor,Special Brunch Menu,$15-$30,Grills
American,Good Decor,Special Brunch Menu,$15-$30,Grills
American,Good Decor,Dining Outdoors,$15-$30,Grills
American,Good Decor,Dining Outdoors,$15-$30,Grills
Italian,Excellent Service,Prix Fixe Menus,$30-$50,none
Italian,Good Decor,Prix Fixe Menus,$30-$50,none
Italian,Excellent Food,Prix Fixe Menus,$30-$50,none
American,For the Young and Young at Heart,Special Brunch Menu,$15-$30,Coffee Shops
American,Good Service,Special Brunch Menu,$15-$30,Coffee Shops
American,Good Decor,Special Brunch Menu,$15-$30,Coffee Shops
American,Excellent Food,Special Brunch Menu,$15-$30,Coffee Shops
American,Extraordinary Decor,Private Parties,$30-$50,Californian
American,Extraordinary Decor,Pre-theater Dining,$30-$50,Californian
American,Extraordinary Decor,Takeout Available,$30-$50,Californian
American,Extraordinary Decor,Special Brunch Menu,$30-$50,Californian
American,Extraordinary Decor,Delivery Available,$30-$50,Californian
American,Extraordinary Decor,Weekend Dining,$30-$50,Californian
American,Extraordinary Decor,Open for Breakfast,$30-$50,Californian
American,Extraordinary Decor,Private Rooms Available,$30-$50,Californian
American,Creative,Private Parties,$30-$50,Californian
American,Creative,Pre-theater Dining,$30-$50,Californian
American,Creative,Takeout Available,$30-$50,Californian
American,Creative,Special Brunch Menu,$30-$50,Californian
American,Creative,Delivery Available,$30-$50,Californian
American,Creative,Weekend Dining,$30-$50,Californian
American,Creative,Open for Breakfast,$30-$50,Californian
American,Creative,Private Rooms Available,$30-$50,Californian
American,Fabulous Wine Lists,Private Parties,$30-$50,Californian
American,Fabulous Wine Lists,Pre-theater Dining,$30-$50,Californian
American,Fabulous Wine Lists,Takeout Available,$30-$50,Californian
American,Fabulous Wine Lists,Special Brunch Menu,$30-$50,Californian
American,Fabulous Wine Lists,Delivery Available,$30-$50,Californian
American,Fabulous Wine Lists,Weekend Dining,$30-$50,Californian
American,Fabulous Wine Lists,Open for Breakfast,$30-$50,Californian
American,Fabulous Wine Lists,Private Rooms Available,$30-$50,Californian
American,Extraordinary Food,Private Parties,$30-$50,Californian
American,Extraordinary Food,Pre-theater Dining,$30-$50,Californian
American,Extraordinary Food,Takeout Available,$30-$50,Californian
American,Extraordinary Food,Special Brunch Menu,$30-$50,Californian
American,Extraordinary Food,Delivery Available,$30-$50,Californian
American,Extraordinary Food,Weekend Dining,$30-$50,Californian
American,Extraordinary Food,Open for Breakfast,$30-$50,Californian
American,Extraordinary Food,Private Rooms Available,$30-$50,Californian
American,Health Conscious Menus,Private Parties,$30-$50,Californian
American,Health Conscious Menus,Pre-theater Dining,$30-$50,Californian
American,Health Conscious Menus,Takeout Available,$30-$50,Californian
American,Health Conscious Menus,Special Brunch Menu,$30-$50,Californian
American,Health Conscious Menus,Delivery Available,$30-$50,Californian
American,Health Conscious Menus,Weekend Dining,$30-$50,Californian
American,Health Conscious Menus,Open for Breakfast,$30-$50,Californian
American,Health Conscious Menus,Private Rooms Available,$30-$50,Californian
American,Excellent Service,Private Parties,$30-$50,Californian
American,Excellent Service,Pre-theater Dining,$30-$50,Californian
American,Excellent Service,Takeout Available,$30-$50,Californian
American,Excellent Service,Special Brunch Menu,$30-$50,Californian
American,Excellent Service,Delivery Available,$30-$50,Californian
American,Excellent Service,Weekend Dining,$30-$50,Californian
American,Excellent Service,Open for Breakfast,$30-$50,Californian
American,Excellent Service,Private Rooms Available,$30-$50,Californian
Italian,Extraordinary Decor,Weekend Dining,over $50,none
Italian,Extraordinary Decor,Prix Fixe Menus,over $50,none
Italian,Extraordinary Food,Weekend Dining,over $50,none
Italian,Extraordinary Food,Prix Fixe Menus,over $50,none
Italian,Extraordinary Service,Weekend Dining,over $50,none
Italian,Extraordinary Service,Prix Fixe Menus,over $50,none
Italian,Classic Hotel Dining,Weekend Dining,over $50,none
Italian,Classic Hotel Dining,Prix Fixe Menus,over $50,none
French,Romantic,Private Parties,over $50,none
French,Romantic,Private Rooms Available,over $50,none
French,Near-perfect Food,Private Parties,over $50,none
French,Near-perfect Food,Private Rooms Available,over $50,none
French,Quiet for Conversation,Private Parties,over $50,none
French,Quiet for Conversation,Private Rooms Available,over $50,none
French,Relaxed Senior Scene,Private Parties,over $50,none
French,Relaxed Senior Scene,Private Rooms Available,over $50,none
French,Classic Hotel Dining,Private Parties,over $50,none
French,Classic Hotel Dining,Private Rooms Available,over $50,none
French,Near-perfect Decor,Private Parties,over $50,none
French,Near-perfect Decor,Private Rooms Available,over $50,none
French,Near-perfect Service,Private Parties,over $50,none
French,Near-perfect Service,Private Rooms Available,over $50,none
French,Good Out of Town Business,Private Parties,over $50,none
French,Good Out of Town Business,Private Rooms Available,over $50,none
American,Place for Singles,none,$15-$30,none
American,Good Decor,none,$15-$30,none
American,Good Service,none,$15-$30,none
American,Good Food,none,$15-$30,none
American,Quirky,none,$15-$30,none
American,Up and Coming,none,$15-$30,none
Italian,Excellent Decor,none,$30-$50,none
Italian,Extraordinary Food,none,$30-$50,none
Italian,Extraordinary Service,none,$30-$50,none
Italian,Little Known But Well Liked,none,$30-$50,none
American,Excellent Decor,Weekend Dining,$30-$50,none
Italian,Excellent Decor,Weekend Dining,$30-$50,none
American,Relaxed Senior Scene,Weekend Dining,$30-$50,none
Italian,Relaxed Senior Scene,Weekend Dining,$30-$50,none
American,Extraordinary Food,Weekend Dining,$30-$50,none
Italian,Extraordinary Food,Weekend Dining,$30-$50,none
American,Excellent Service,Weekend Dining,$30-$50,none
Italian,Excellent Service,Weekend Dining,$30-$50,none
Italian,Excellent Decor,none,$30-$50,none
Italian,Excellent Service,none,$30-$50,none
Italian,Excellent Food,none,$30-$50,none
Italian,Good Service,Dining Outdoors,$15-$30,none
Italian,Good Decor,Dining Outdoors,$15-$30,none
Italian,Excellent Food,Dining Outdoors,$15-$30,none
Italian,Excellent Decor,Late Night Menu,$30-$50,none
Italian,Excellent Decor,After Hours Dining,$30-$50,none
Italian,Excellent Decor,Dining Outdoors,$30-$50,none
Italian,Hip Place To Be,Late Night Menu,$30-$50,none
Italian,Hip Place To Be,After Hours Dining,$30-$50,none
Italian,Hip Place To Be,Dining Outdoors,$30-$50,none
Italian,Good Service,Late Night Menu,$30-$50,none
Italian,Good Service,After Hours Dining,$30-$50,none
Italian,Good Service,Dining Outdoors,$30-$50,none
Italian,Up and Coming,Late Night Menu,$30-$50,none
Italian,Up and Coming,After Hours Dining,$30-$50,none
Italian,Up and Coming,Dining Outdoors,$30-$50,none
Italian,Excellent Food,Late Night Menu,$30-$50,none
Italian,Excellent Food,After Hours Dining,$30-$50,none
Italian,Excellent Food,Dining Outdoors,$30-$50,none
Italian,Good Service,Dining Outdoors,$15-$30,none
Italian,Good Food,Dining Outdoors,$15-$30,none
Italian,Up and Coming,Dining Outdoors,$15-$30,none
Italian,Good Decor,Dining Outdoors,$15-$30,none
Italian,Excellent Decor,none,$30-$50,none
Italian,Extraordinary Food,none,$30-$50,none
Italian,Extraordinary Service,none,$30-$50,none
Italian,Excellent Service,none,$15-$30,none
Italian,Excellent Food,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
Italian,Good for Younger Kids,none,$15-$30,none
Italian,For the Young and Young at Heart,Dining Outdoors,below $15,none
Italian,Good Service,Dining Outdoors,below $15,none
Italian,Fair Decor,Dining Outdoors,below $15,none
Italian,Good Food,Dining Outdoors,below $15,none
Italian,Good Service,Late Night Menu,$30-$50,none
Italian,Good Service,After Hours Dining,$30-$50,none
Italian,Good Food,Late Night Menu,$30-$50,none
Italian,Good Food,After Hours Dining,$30-$50,none
Italian,Good Decor,Late Night Menu,$30-$50,none
Italian,Good Decor,After Hours Dining,$30-$50,none
Italian,People Keep Coming Back,Late Night Menu,$30-$50,none
Italian,People Keep Coming Back,After Hours Dining,$30-$50,none
French,Excellent Decor,none,$15-$30,none
French,Good Service,none,$15-$30,none
French,Good Food,none,$15-$30,none
French,Up and Coming,none,$15-$30,none
Italian,Good Service,Weekend Dining,$15-$30,none
Italian,Good Food,Weekend Dining,$15-$30,none
Italian,Good Decor,Weekend Dining,$15-$30,none
Italian,Good Service,none,$15-$30,none
Italian,Good Food,none,$15-$30,none
Italian,Up and Coming,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
American,Excellent Decor,Private Parties,$30-$50,none
American,Excellent Decor,Pre-theater Dining,$30-$50,none
American,Excellent Decor,Dining Outdoors,$30-$50,none
American,Excellent Decor,Special Brunch Menu,$30-$50,none
American,Excellent Decor,Prix Fixe Menus,$30-$50,none
American,Excellent Decor,Weekend Dining,$30-$50,none
American,Excellent Decor,Private Rooms Available,$30-$50,none
American,Excellent Service,Private Parties,$30-$50,none
American,Excellent Service,Pre-theater Dining,$30-$50,none
American,Excellent Service,Dining Outdoors,$30-$50,none
American,Excellent Service,Special Brunch Menu,$30-$50,none
American,Excellent Service,Prix Fixe Menus,$30-$50,none
American,Excellent Service,Weekend Dining,$30-$50,none
American,Excellent Service,Private Rooms Available,$30-$50,none
American,Excellent Food,Private Parties,$30-$50,none
American,Excellent Food,Pre-theater Dining,$30-$50,none
American,Excellent Food,Dining Outdoors,$30-$50,none
American,Excellent Food,Special Brunch Menu,$30-$50,none
American,Excellent Food,Prix Fixe Menus,$30-$50,none
American,Excellent Food,Weekend Dining,$30-$50,none
American,Excellent Food,Private Rooms Available,$30-$50,none
Italian,Excellent Service,Weekend Dining,$15-$30,none
Italian,Good Decor,Weekend Dining,$15-$30,none
Italian,Excellent Food,Weekend Dining,$15-$30,none
American,Good Service,none,below $15,Coffee Shops
American,Fair Decor,none,below $15,Coffee Shops
American,Good Food,none,below $15,Coffee Shops
American,Excellent Decor,Weekend Dining,$30-$50,none
American,Excellent Decor,Special Brunch Menu,$30-$50,none
American,Pub Feel,Weekend Dining,$30-$50,none
American,Pub Feel,Special Brunch Menu,$30-$50,none
American,Excellent Service,Weekend Dining,$30-$50,none
American,Excellent Service,Special Brunch Menu,$30-$50,none
American,Excellent Food,Weekend Dining,$30-$50,none
American,Excellent Food,Special Brunch Menu,$30-$50,none
Italian,Good Service,none,$15-$30,none
Italian,Good Decor,none,$15-$30,none
Italian,Excellent Food,none,$15-$30,none
American,Excellent Decor,Private Parties,$15-$30,Soulfood
American,Excellent Decor,Special Brunch Menu,$15-$30,Soulfood
American,Excellent Decor,Dancing,$15-$30,Soulfood
American,Excellent Decor,Prix Fixe Menus,$15-$30,Soulfood
American,Excellent Decor,Entertainment,$15-$30,Soulfood
American,Excellent Decor,Weekend Dining,$15-$30,Soulfood
American,Excellent Decor,Private Rooms Available,$15-$30,Soulfood
American,Excellent Service,Private Parties,$15-$30,Soulfood
American,Excellent Service,Special Brunch Menu,$15-$30,Soulfood
American,Excellent Service,Dancing,$15-$30,Soulfood
American,Excellent Service,Prix Fixe Menus,$15-$30,Soulfood
American,Excellent Service,Entertainment,$15-$30,Soulfood
American,Excellent Service,Weekend Dining,$15-$30,Soulfood
American,Excellent Service,Private Rooms Available,$15-$30,Soulfood
American,Little Known But Well Liked,Private Parties,$15-$30,Soulfood
American,Little Known But Well Liked,Special Brunch Menu,$15-$30,Soulfood
American,Little Known But Well Liked,Dancing,$15-$30,Soulfood
American,Little Known But Well Liked,Prix Fixe Menus,$15-$30,Soulfood
American,Little Known But Well Liked,Entertainment,$15-$30,Soulfood
American,Little Known But Well Liked,Weekend Dining,$15-$30,Soulfood
American,Little Known But Well Liked,Private Rooms Available,$15-$30,Soulfood
American,Excellent Food,Private Parties,$15-$30,Soulfood
American,Excellent Food,Special Brunch Menu,$15-$30,Soulfood
American,Excellent Food,Dancing,$15-$30,Soulfood
American,Excellent Food,Prix Fixe Menus,$15-$30,Soulfood
American,Excellent Food,Entertainment,$15-$30,Soulfood
American,Excellent Food,Weekend Dining,$15-$30,Soulfood
American,Excellent Food,Private Rooms Available,$15-$30,Soulfood
American,Quirky,Private Parties,$15-$30,Soulfood
American,Quirky,Special Brunch Menu,$15-$30,Soulfood
American,Quirky,Dancing,$15-$30,Soulfood
American,Quirky,Prix Fixe Menus,$15-$30,Soulfood
American,Quirky,Entertainment,$15-$30,Soulfood
American,Quirky,Weekend Dining,$15-$30,Soulfood
American,Quirky,Private Rooms Available,$15-$30,Soulfood
American,Excellent Decor,Prix Fixe Menus,$30-$50,Jewish
American,Fabulous Wine Lists,Prix Fixe Menus,$30-$50,Jewish
American,Excellent Service,Prix Fixe Menus,$30-$50,Jewish
American,Wheelchair Access,Prix Fixe Menus,$30-$50,Jewish
American,Excellent Food,Prix Fixe Menus,$30-$50,Jewish
American,Excellent Decor,Takeout Available,$15-$30,Steakhouses
American,Excellent Decor,Late Night Menu,$15-$30,Steakhouses
American,Excellent Decor,Dancing,$15-$30,Steakhouses
American,Excellent Decor,Entertainment,$15-$30,Steakhouses
American,Excellent Decor,Delivery Available,$15-$30,Steakhouses
